trip_date,trips,active_drivers,active_riders,total_revenue_usd,avg_revenue_per_trip_usd
2020-01-01,43,32,32,1667.2399999999993,53.781935483870946
2020-01-02,29,25,25,699.7299999999999,43.733124999999994
2020-01-03,46,37,37,1365.5199999999995,47.086896551724124
2020-01-04,31,29,29,774.65,59.58846153846154
2020-01-05,47,37,37,1652.4300000000005,53.30419354838711
2020-01-06,32,29,29,1002.7600000000001,52.776842105263164
2020-01-07,39,36,36,1167.3000000000002,50.752173913043485
2020-01-08,45,30,30,1865.0700000000004,54.85500000000001
2020-01-09,31,29,29,769.59,48.099375
2020-01-10,52,36,36,1833.49,47.012564102564106
2020-01-11,47,36,36,1887.3600000000001,57.192727272727275
2020-01-12,36,29,29,1381.4799999999998,53.13384615384614
2020-01-13,36,28,28,1146.7200000000003,52.12363636363637
2020-01-14,51,34,34,1786.2100000000014,42.52880952380956
2020-01-15,51,35,35,1395.9600000000003,39.884571428571434
2020-01-16,31,24,24,863.51,45.4478947368421
2020-01-17,37,32,32,895.1400000000001,52.65529411764707
2020-01-18,45,35,35,1429.1200000000001,46.10064516129032
2020-01-19,34,28,28,1192.29,54.195
2020-01-20,35,27,27,932.0899999999998,42.367727272727265
2020-01-21,24,23,23,642.4799999999999,49.421538461538454
2020-01-22,35,26,26,1228.99,53.434347826086956
2020-01-23,47,38,38,1774.2599999999998,61.181379310344816
2020-01-24,39,30,30,1027.81,41.1124
2020-01-25,50,43,43,1596.87,55.064482758620684
2020-01-26,47,37,37,1775.9900000000002,52.23500000000001
2020-01-27,66,51,51,2623.0299999999997,54.64645833333333
2020-01-28,38,26,26,1704.4500000000003,53.26406250000001
2020-01-29,2,2,2,26.07,26.07
2020-02-01,49,36,36,1618.5300000000007,47.603823529411784
2020-02-02,41,32,32,1404.07,48.41620689655172
2020-02-03,32,26,26,1277.63,55.54913043478261
2020-02-04,40,34,34,807.2400000000002,40.36200000000001
2020-02-05,36,28,28,1014.0700000000002,42.25291666666667
2020-02-06,43,39,39,1358.54,56.60583333333333
2020-02-07,34,27,27,771.3999999999999,40.599999999999994
2020-02-08,41,32,32,1144.4700000000003,39.4644827586207
2020-02-09,44,34,34,1271.46,45.409285714285716
2020-02-10,50,37,37,1522.1100000000001,46.124545454545455
2020-02-11,37,28,28,1196.2,47.848
2020-02-12,44,33,33,1271.0600000000002,43.8296551724138
2020-02-13,23,21,21,925.0300000000001,61.668666666666674
2020-02-14,51,40,40,1190.8699999999997,37.21468749999999
2020-02-15,69,48,48,2558.7199999999993,48.27773584905659
2020-02-16,42,30,30,1639.4899999999998,46.842571428571425
2020-02-17,36,31,31,960.2499999999999,41.74999999999999
2020-02-18,38,35,35,1373.4199999999998,65.40095238095238
2020-02-19,36,31,31,762.3499999999999,42.352777777777774
2020-02-20,40,30,30,989.6700000000001,38.064230769230775
2020-02-21,52,38,38,1834.5000000000002,47.03846153846155
2020-02-22,36,27,27,1172.7500000000002,46.91000000000001
2020-02-23,42,37,37,1057.62,44.067499999999995
2020-02-24,38,30,30,1195.8999999999996,45.99615384615383
2020-02-25,41,37,37,1138.23,43.778076923076924
2020-02-26,60,51,51,1785.0100000000002,52.500294117647066
2020-02-27,42,30,30,1090.6499999999999,36.355
2020-02-28,41,35,35,1060.4599999999998,44.18583333333333
2020-02-29,1,1,1,42.23,42.23
2020-03-01,46,37,37,1185.25,40.87068965517241
2020-03-02,39,31,31,818.7299999999998,38.98714285714285
2020-03-03,50,36,36,1556.3599999999994,47.16242424242422
2020-03-04,30,27,27,763.48,42.41555555555556
2020-03-05,30,21,21,1155.85,57.7925
2020-03-06,49,34,34,1873.5199999999998,50.63567567567567
2020-03-07,59,38,39,2286.650000000001,51.9693181818182
2020-03-08,58,44,44,2022.01,51.84641025641026
2020-03-09,34,25,25,1028.4600000000003,51.423000000000016
2020-03-10,28,28,28,898.77,56.173125
2020-03-11,40,32,32,1611.43,55.56655172413793
2020-03-12,50,34,34,1851.2099999999994,52.891714285714265
2020-03-13,39,27,27,1627.6399999999994,56.12551724137929
2020-03-14,44,37,37,1231.46,49.2584
2020-03-15,33,23,23,961.9,35.62592592592593
2020-03-16,45,34,34,1981.2799999999997,66.04266666666666
2020-03-17,55,38,38,1721.0599999999997,41.9770731707317
2020-03-18,51,41,41,2089.499999999999,52.237499999999976
2020-03-19,33,30,30,1236.2800000000002,65.06736842105265
2020-03-20,42,34,34,1450.28,58.0112
2020-03-21,30,24,24,549.7700000000001,36.65133333333334
2020-03-22,53,38,38,1835.9499999999998,57.373437499999994
2020-03-23,46,38,38,2054.9199999999996,58.71199999999999
2020-03-24,33,25,25,1318.5500000000002,57.32826086956523
2020-03-25,34,31,31,1110.54,50.47909090909091
2020-03-26,34,29,29,1205.8799999999999,48.23519999999999
2020-03-27,46,36,36,1766.3199999999997,56.978064516129024
2020-03-28,35,29,29,1416.0400000000002,61.56695652173914
2020-04-01,44,35,35,1217.1900000000003,40.57300000000001
2020-04-02,38,31,31,1206.8100000000002,44.69666666666667
2020-04-03,45,36,36,1521.5100000000002,49.08096774193549
2020-04-04,51,34,34,2113.7499999999995,49.15697674418604
2020-04-05,31,25,25,1113.52,55.676
2020-04-06,36,27,27,1622.4599999999998,62.40230769230769
2020-04-07,32,23,23,1129.6299999999999,49.11434782608695
2020-04-08,51,38,38,1996.1000000000001,51.18205128205128
2020-04-09,44,34,34,1127.9199999999998,45.11679999999999
2020-04-10,42,33,33,1391.0500000000004,55.64200000000002
2020-04-11,29,26,26,783.0799999999999,41.21473684210526
2020-04-12,31,24,24,827.58,43.55684210526316
2020-04-13,43,32,32,1664.0299999999997,46.22305555555555
2020-04-14,38,32,32,1220.7600000000002,48.83040000000001
2020-04-15,42,30,30,1355.8700000000001,46.754137931034485
2020-04-16,41,37,37,1094.72,52.12952380952381
2020-04-17,46,35,35,1878.21,56.915454545454544
2020-04-18,49,37,37,2077.83,54.679736842105264
2020-04-19,30,24,24,953.0200000000001,45.381904761904764
2020-04-20,44,38,38,1232.92,49.3168
2020-04-21,61,47,47,1849.2300000000007,44.029285714285734
2020-04-22,59,42,42,2133.81,50.805
2020-04-23,57,47,47,1500.61,46.8940625
2020-04-24,51,38,38,1355.2200000000003,41.06727272727274
2020-04-25,52,45,45,1643.8300000000002,53.02677419354839
2020-04-26,40,28,28,1645.0900000000001,49.85121212121213
2020-04-27,43,33,33,1576.6499999999996,50.859677419354824
2020-04-28,39,28,28,799.14,34.745217391304344
2020-05-01,51,40,40,1661.8000000000004,44.91351351351352
2020-05-02,42,37,37,854.3,38.83181818181818
2020-05-03,37,30,30,1416.45,59.018750000000004
2020-05-04,32,29,29,946.07,47.3035
2020-05-05,49,34,34,1285.4899999999998,34.742972972972964
2020-05-06,55,41,41,1838.6700000000003,51.07416666666668
2020-05-07,55,37,37,2098.7500000000005,51.189024390243915
2020-05-08,49,42,42,1621.99,55.930689655172415
2020-05-09,39,30,30,942.4999999999999,42.840909090909086
2020-05-10,44,35,35,1492.99,51.48241379310345
