rider_id,total_trips,total_spend_usd,avg_trip_fare_usd,first_trip_date,last_trip_date
R0071231,2,54.89,48.03,2020-07-15,2020-09-20
R0034167,2,125.58,62.79,2023-12-07,2023-12-07
R0044339,1,53.44,53.44,2025-08-07,2025-08-07
R0062217,1,41.38,41.38,2025-05-18,2025-05-18
R0006961,2,94.25999999999999,47.129999999999995,2021-02-07,2022-03-07
R0065724,1,54.23,54.23,2021-04-20,2021-04-20
R0014846,3,93.83,49.199999999999996,2024-04-02,2025-02-28
R0014741,3,0.0,41.27333333333333,2021-08-17,2022-05-13
R0025407,1,44.78,44.78,2024-11-05,2024-11-05
R0008879,1,96.23,96.23,2025-10-27,2025-10-27
R0037006,1,43.14,43.14,2021-04-10,2021-04-10
R0044967,5,287.24999999999994,57.44999999999999,2021-11-16,2025-01-14
R0025490,2,69.4,34.7,2023-04-19,2025-03-28
R0029324,1,62.93,62.93,2024-08-23,2024-08-23
R0063625,1,26.63,26.63,2022-03-25,2022-03-25
R0055706,5,184.07,45.284,2021-08-06,2025-01-06
R0039583,2,88.7,44.35,2022-09-13,2022-09-13
R0000105,2,84.7,42.35,2021-11-16,2021-11-16
R0056354,1,38.95,38.95,2024-08-21,2024-08-21
R0004246,1,57.86,57.86,2023-04-06,2023-04-06
R0008253,2,27.76,13.88,2021-05-21,2021-05-21
R0045214,7,122.62,37.33857142857143,2021-01-23,2025-04-11
R0017636,3,346.68,115.56,2021-06-09,2021-06-09
R0024492,2,61.68,62.655,2020-05-14,2023-07-03
R0061108,1,44.62,44.62,2025-02-14,2025-02-14
R0026080,1,42.34,42.34,2020-04-22,2020-04-22
R0025649,3,125.18,58.22,2020-03-20,2020-10-03
R0051658,2,27.56,45.26,2024-03-14,2025-02-28
R0049090,2,57.56,48.865,2022-05-04,2024-10-13
R0001600,3,114.66000000000001,38.220000000000006,2020-03-08,2022-01-01
R0025196,1,51.43,51.43,2020-04-11,2020-04-11
R0035314,4,82.17,23.0975,2023-08-16,2024-06-15
R0064216,2,115.16,57.58,2021-09-03,2021-09-03
R0060848,3,196.51999999999998,65.50666666666666,2021-05-16,2022-11-25
R0020838,6,317.13,71.28,2020-06-19,2024-07-11
R0052034,1,31.05,31.05,2024-07-19,2024-07-19
R0039619,3,75.4,60.92666666666667,2021-12-19,2023-10-09
R0004287,2,72.59,66.97,2023-06-21,2023-11-24
R0034586,2,97.24,48.62,2022-10-04,2023-04-26
R0073479,3,132.24,44.080000000000005,2023-07-07,2023-07-07
R0002639,3,152.12,87.63333333333333,2020-11-12,2025-09-24
R0051241,1,56.69,56.69,2021-09-24,2021-09-24
R0020181,1,57.35,57.35,2023-08-12,2023-08-12
R0038907,2,157.32,78.66,2025-07-18,2025-07-18
R0064171,1,67.45,67.45,2021-09-13,2021-09-13
R0065767,3,156.58,56.443333333333335,2021-10-06,2021-10-24
R0040014,5,206.54,49.546,2021-11-22,2024-10-19
R0039872,3,47.42,45.89333333333334,2020-11-10,2022-04-04
R0036478,3,70.94,58.98,2022-03-18,2025-12-15
R0037888,3,52.64,31.71666666666667,2024-05-15,2024-08-02
R0053632,1,8.82,8.82,2024-08-09,2024-08-09
R0040617,2,109.59,54.795,2020-09-15,2022-11-11
R0018957,1,68.9,68.9,2022-11-12,2022-11-12
R0052430,1,56.33,56.33,2022-06-04,2022-06-04
R0023896,3,70.59,36.13,2020-06-24,2021-12-20
R0025967,2,41.85,57.105000000000004,2021-09-23,2022-03-20
R0038231,2,96.51,72.13,2020-03-27,2022-04-15
R0009426,1,79.16,79.16,2024-06-14,2024-06-14
R0058096,2,94.78,47.39,2024-01-19,2025-07-02
R0001807,1,73.49,73.49,2021-02-14,2021-02-14
R0043618,3,51.59,39.71666666666667,2020-11-23,2025-02-11
R0004313,5,152.22,30.444,2023-04-01,2024-05-21
R0040816,5,191.82,47.974000000000004,2022-06-16,2025-01-08
R0040382,1,83.8,83.8,2021-03-06,2021-03-06
R0050253,1,60.39,60.39,2021-09-22,2021-09-22
R0060769,2,119.2,59.6,2024-07-22,2024-07-22
R0011436,2,59.01,61.730000000000004,2021-04-22,2024-01-28
R0055073,1,23.24,23.24,2023-01-15,2023-01-15
R0017978,2,65.17,42.34,2020-07-20,2024-05-24
R0002887,1,74.28,74.28,2022-12-05,2022-12-05
R0074896,3,135.39000000000001,45.13,2020-05-13,2025-03-06
R0063111,1,56.05,56.05,2023-03-11,2023-03-11
R0014060,1,103.91,103.91,2022-12-21,2022-12-21
R0018114,2,61.7,30.85,2024-08-13,2024-08-13
R0053564,5,233.82,52.986000000000004,2021-07-15,2024-07-28
R0017039,2,0.0,47.83,2022-03-11,2023-09-25
R0041769,4,298.16,74.54,2023-06-10,2023-06-10
R0056075,2,61.1,30.55,2021-02-16,2021-02-16
R0043590,2,96.26,48.13,2023-01-22,2023-01-22
R0047599,2,116.65,58.325,2022-04-09,2024-09-11
R0054387,1,58.48,58.48,2024-04-08,2024-04-08
R0023911,2,69.5,34.75,2025-07-23,2025-07-23
R0058130,3,53.65,45.093333333333334,2020-06-07,2022-08-17
R0002748,1,37.79,37.79,2021-09-26,2021-09-26
R0012734,2,142.56,71.28,2022-02-06,2022-02-06
R0066035,3,19.51,42.79,2024-11-21,2025-07-27
R0032180,3,109.14,87.45333333333333,2021-03-24,2022-07-26
R0010265,1,16.1,16.1,2025-05-03,2025-05-03
R0025847,3,82.08,53.64333333333334,2020-09-15,2022-05-01
R0018579,1,45.21,45.21,2023-08-16,2023-08-16
R0015639,1,135.27,135.27,2021-12-26,2021-12-26
R0022774,3,51.66,57.73666666666666,2023-05-25,2024-10-28
R0021300,1,57.82,57.82,2024-10-26,2024-10-26
R0045152,2,140.54,70.27,2021-04-07,2021-04-07
