vehicle_id,driver_id,total_trips,total_revenue_usd,avg_duration_min,avg_distance_km
V022063,D022063,4,83.88,48.25,17.12
V018745,D018745,4,176.37,37.75,19.035
V013748,D013748,3,168.39,47.666666666666664,17.876666666666665
V038367,D038367,6,313.21999999999997,37.166666666666664,25.334999999999997
V017374,D017374,2,0.0,25.0,20.5
V038779,D038779,2,45.49,36.0,15.615
V011586,D011586,4,36.03,21.0,3.9275
V025638,D025638,2,0.0,57.5,26.375
V025363,D025363,1,0.0,30.0,22.47
V002557,D002557,3,36.84,39.666666666666664,18.166666666666668
V041105,D041105,4,93.44999999999999,46.75,10.5075
V007114,D007114,1,0.0,47.0,28.39
V016038,D016038,1,76.25,55.0,30.15
V045678,D045678,3,0.0,36.666666666666664,24.320000000000004
V029224,D029224,3,42.64,26.0,9.813333333333333
V021033,D021033,1,32.37,12.0,11.3
V002201,D002201,2,175.38,59.0,29.36
V039123,D039123,5,281.07,33.8,23.616
V027170,D027170,1,83.82,41.0,31.68
V031825,D031825,3,207.76999999999998,37.333333333333336,23.136666666666667
V036173,D036173,3,124.22,30.333333333333332,23.953333333333333
V010073,D010073,2,49.410000000000004,38.5,2.165
V042988,D042988,4,130.97,44.25,8.032499999999999
V040330,D040330,2,78.58,38.0,28.03
V047429,D047429,1,116.61,60.0,31.69
V014388,D014388,7,313.92,43.285714285714285,17.19857142857143
V000478,D000478,1,35.55,25.0,15.2
V021147,D021147,1,56.26,41.0,25.31
V028157,D028157,3,23.75,24.666666666666668,7.753333333333333
V038134,D038134,1,82.94,32.0,32.52
V024733,D024733,3,223.32,30.666666666666668,28.506666666666664
V019056,D019056,4,103.76,26.25,15.105
V030088,D030088,2,91.62,13.0,16.14
V034274,D034274,1,0.0,61.0,7.73
V005141,D005141,3,0.0,56.333333333333336,19.173333333333332
V014340,D014340,2,86.3,13.5,17.06
V045843,D045843,4,142.15,44.25,9.2525
V049197,D049197,4,91.6,30.25,14.135000000000002
V049605,D049605,1,0.0,52.0,34.37
V010995,D010995,4,277.17,54.5,24.277500000000003
V021998,D021998,3,114.94999999999999,41.0,22.113333333333333
V010552,D010552,2,0.0,38.0,20.32
V016915,D016915,2,57.25,36.5,13.64
V006662,D006662,1,32.92,33.0,10.21
V031146,D031146,2,101.67,38.5,18.92
V003516,D003516,1,0.0,17.0,6.03
V011078,D011078,3,174.9,49.666666666666664,24.506666666666664
V021508,D021508,1,140.84,62.0,21.49
V005657,D005657,1,0.0,14.0,19.45
V004449,D004449,9,219.54,40.77777777777778,19.637777777777778
V020325,D020325,3,122.48,18.0,26.50666666666667
V036631,D036631,1,0.0,39.0,6.81
V012441,D012441,2,52.7,11.0,21.63
V012859,D012859,1,39.39,50.0,7.49
V045003,D045003,1,64.71,42.0,21.72
V049513,D049513,3,58.67,31.666666666666668,13.63
V002354,D002354,4,156.85,37.0,20.415
V000730,D000730,1,24.78,33.0,5.68
V029139,D029139,4,93.58,29.0,15.212500000000002
V021337,D021337,4,55.47,52.5,10.3125
V048840,D048840,1,0.0,32.0,19.58
V000114,D000114,1,46.13,54.0,12.27
V048085,D048085,2,79.75999999999999,56.0,3.49
V025551,D025551,1,0.0,53.0,27.2
V003394,D003394,1,0.0,31.0,21.97
V033598,D033598,1,0.0,16.0,6.52
V019624,D019624,6,63.0,35.0,7.744999999999998
V036518,D036518,4,139.32,22.0,16.58
V013790,D013790,1,0.0,41.0,13.4
V035243,D035243,5,142.14,35.4,21.122
V033334,D033334,1,53.74,41.0,15.95
V010870,D010870,1,59.05,53.0,29.36
V028887,D028887,3,113.42,43.0,14.116666666666667
V032085,D032085,2,53.33,47.0,8.0
V046529,D046529,1,0.0,35.0,16.55
V029311,D029311,4,302.0,44.0,28.2975
V043701,D043701,3,201.45000000000002,56.0,30.570000000000004
V040240,D040240,2,33.16,55.5,10.219999999999999
V036132,D036132,1,20.13,15.0,6.2
V008166,D008166,3,160.95,52.666666666666664,24.13
V039568,D039568,3,21.47,25.333333333333332,14.68
V011718,D011718,1,0.0,49.0,9.04
V036901,D036901,3,51.42,13.333333333333334,6.349999999999999
V004460,D004460,2,0.0,28.5,23.1
V045360,D045360,3,51.61,33.0,29.24
V013630,D013630,2,107.8,44.0,
V014749,D014749,1,0.0,26.0,11.9
V019052,D019052,1,0.0,13.0,20.58
V029563,D029563,5,312.96000000000004,16.6,22.116
